City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Hedland,AU,2022-12-20 19:28:55,-20.3167,118.5667,75.25,73,100,10.36
68,Muros,ES,2022-12-20 19:28:55,42.7762,-9.0603,59.85,83,70,15.95
69,Tasiilaq,GL,2022-12-20 19:28:56,65.6145,-37.6368,14.16,58,9,4.14
70,Auki,SB,2022-12-20 19:28:56,-8.7676,160.7034,77.32,89,78,4.83
71,Castro,BR,2022-12-20 19:28:57,-24.7911,-50.0119,67.5,85,50,8.59
72,Oga,IT,2022-12-20 19:28:57,46.4631,10.347,29.03,87,99,4.05
73,Neftcala,AZ,2022-12-20 19:28:57,39.3742,49.2472,44.31,62,100,15.82
74,Kavieng,PG,2022-12-20 19:28:58,-2.5744,150.7967,80.67,79,100,7.02
75,Ilulissat,GL,2022-12-20 19:28:58,69.2167,-51.1,21.22,38,20,5.75
76,Vaini,TO,2022-12-20 19:28:59,-21.2,-175.2,82.56,83,20,10.36
77,Gao,ML,2022-12-20 19:28:59,16.6362,1.637,70.27,18,87,11.16
78,Atuona,PF,2022-12-20 19:26:54,-9.8,-139.0333,77.97,82,22,21.34
79,Vardo,NO,2022-12-20 19:29:00,70.3705,31.1107,28.38,80,40,10.36
80,Port Macquarie,AU,2022-12-20 19:26:01,-31.4333,152.9167,56.89,77,89,7.52
81,Punta Arenas,CL,2022-12-20 19:29:01,-53.15,-70.9167,68.11,28,40,18.41
82,Puerto Escondido,MX,2022-12-20 19:29:01,15.85,-97.0667,86.83,66,0,5.75
83,Sao Filipe,CV,2022-12-20 19:29:02,14.8961,-24.4956,77.85,63,0,13.6
84,Fort Morgan,US,2022-12-20 19:29:02,40.2503,-103.8,30.85,59,0,6.91
85,Narsaq,GL,2022-12-20 19:29:03,60.9167,-46.05,12.42,63,0,8.08
86,Ponta Delgada,PT,2022-12-20 19:30:03,37.7333,-25.6667,66.51,94,75,14.97
87,Ahipara,NZ,2022-12-20 19:30:04,-35.1667,173.1667,67.32,74,3,6.29
88,Norman Wells,CA,2022-12-20 19:30:05,65.282,-126.8329,-43.56,66,20,0.0
89,Akdepe,TM,2022-12-20 19:30:05,42.0551,59.3788,35.69,97,100,13.31
90,Xichang,CN,2022-12-20 19:30:06,27.8964,102.2634,37.8,90,97,2.37
91,Burgos,ES,2022-12-20 19:30:06,42.3394,-3.7079,46.81,93,100,3.44
92,Khatanga,RU,2022-12-20 19:30:07,71.9667,102.5,-37.91,100,100,3.71
