City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kattivakkam,IN,2022-12-27 20:34:57,13.2167,80.3167,78.89,84,9,3.62
68,Point Pedro,LK,2022-12-27 20:34:58,9.8167,80.2333,77.61,86,20,10.76
69,Longyearbyen,SJ,2022-12-27 20:34:58,78.2186,15.6401,31.84,74,40,27.63
70,Axim,GH,2022-12-27 20:32:52,4.8699,-2.2405,79.12,76,31,5.82
71,Sioux Lookout,CA,2022-12-27 20:34:59,50.1001,-91.917,10.47,85,100,3.44
72,Adwa,ET,2022-12-27 20:34:59,14.1646,38.8955,55.67,80,2,3.18
73,Bathsheba,BB,2022-12-27 20:34:59,13.2167,-59.5167,83.01,65,40,21.85
74,Pacific Grove,US,2022-12-27 20:35:00,36.6177,-121.9166,58.41,90,100,11.01
75,Cabo San Lucas,MX,2022-12-27 20:34:23,22.8909,-109.9124,87.1,42,0,9.22
76,Tiksi,RU,2022-12-27 20:35:00,71.6872,128.8694,-20.24,100,94,5.5
77,Rio Gallegos,AR,2022-12-27 20:35:01,-51.6226,-69.2181,51.35,43,100,36.8
78,Ossora,RU,2022-12-27 20:35:01,59.2353,163.0719,13.71,63,8,9.75
79,Comodoro Rivadavia,AR,2022-12-27 20:35:02,-45.8667,-67.5,71.46,15,0,14.97
80,Norman Wells,CA,2022-12-27 20:35:02,65.282,-126.8329,-16.56,76,100,4.61
81,Bluff,NZ,2022-12-27 20:32:33,-46.6,168.3333,58.69,80,4,4.52
82,Guiyang,CN,2022-12-27 20:35:03,26.5833,106.7167,32.49,100,100,6.71
83,Hermanus,ZA,2022-12-27 20:32:50,-34.4187,19.2345,66.79,87,99,6.17
84,Kaitangata,NZ,2022-12-27 20:35:04,-46.2817,169.8464,63.23,69,26,3.06
85,Yar-Sale,RU,2022-12-27 20:35:05,66.8333,70.8333,-10.82,97,45,8.81
86,Itarema,BR,2022-12-27 20:35:05,-2.9248,-39.9167,80.46,74,97,15.68
87,Hualmay,PE,2022-12-27 20:35:06,-11.0964,-77.6139,73.54,75,60,10.58
88,Coquimbo,CL,2022-12-27 20:33:17,-29.9533,-71.3436,71.33,49,0,14.97
89,Bocas Del Toro,PA,2022-12-27 20:35:06,9.3333,-82.25,80.38,74,57,9.17
90,Cape Town,ZA,2022-12-27 20:32:34,-33.9258,18.4232,70.09,69,0,9.22
91,Grand Forks,US,2022-12-27 20:31:13,47.9417,-97.4337,21.13,79,100,16.11
92,Muscatine,US,2022-12-27 20:35:07,41.4667,-91.1335,25.03,64,0,11.5
93,La Mesa,US,2022-12-27 20:35:08,32.7678,-117.0231,73.56,49,0,9.22
94,Sinnamary,GF,2022-12-27 20:35:09,5.3833,-52.95,76.78,88,100,11.65
95,Thompson,CA,2022-12-27 20:36:09,55.7435,-97.8558,-12.84,77,75,6.91
96,Saskylakh,RU,2022-12-27 20:36:10,71.9167,114.0833,-40.2,100,85,3.49
97,Shirokiy,RU,2022-12-27 20:36:10,49.758,129.523,1.31,97,100,5.21
98,Haines Junction,CA,2022-12-27 20:36:11,60.7522,-137.5108,27.59,95,100,1.99
99,Carnarvon,AU,2022-12-27 20:36:11,-24.8667,113.6333,77.22,59,84,23.91
100,Airai,TL,2022-12-27 20:36:12,-8.9266,125.4092,60.87,91,100,2.51
